reaction-ID,reaction-name,no-components,reaction-space,total-synthons,description,tags
275536,Boc-R040-TRIAZOLE,2,1050,5904,Triazole formation followed by Boc-deprotection,"#amine, #click, #heterocyclization, #triazole"
275550,R071-Rd-Acl,3,1050,24113,Reductive Amination followed by acylation with halogen anhydrides,"#acylation, #reductive amination"
275592,Radd-049-DA-Ac-Boc-Ac,3,1050,66388,Acylation of monoBoc-diamine followed by Boc cleavage and amide formation,#acylation
275650,Radd-051-SO2N-Suzuki,3,1055,35446,,
275652,K-SUZUKI,2,0,1767,Two-stage: 1) Suzuki coupling; 2) saponification,"#C-C coupling, #Suzuki reaction, #acid"
275730,Radd-053-Ac-Suzuki,3,1055,67457,Acylation of amines followed by Suzuki reaction,"#Suzuki reaction, #acylation"
275732,Radd-054-Alk-Suzuki,3,1055,17027,,
276010,Radd-058-Click-Boc-Ac,3,1050,33687,Triazole formation followed by Boc-deprotection and further acylation ,"#acylation, #heterocyclization, #triazole"
276436,R111-ACYLATION,2,0,43082,"acylation of O,C-nucleophiles",#acylation
276450,Radd-062-DA-Ar-Boc-Ac,3,1050,26972,Arylation of Boc-protected diamines followed by acylation with an acid,"#acylation, #arylation"
276452,Radd-063-DA-SO2N-Boc-Ac,3,1050,27882,Boc-diamine sulfacylation followed by Boc cleavage and amide formation with an acid,"#acylation, #sulfacylation"
276456,Radd-065-DA-Alk-Boc-Ac,3,1051,5940,Alkylation of Boc-diamines followed by Boc-deprotection and further acylation ,"#acylation, #alkylation"
276492,R113-CyclicTHIOURONIUM,2,0,14240,Cyclic guanidine formation,#heterocyclization
276630,Radd-068-135Subst124Triazole,3,1055,13900,Acylation of amidine followed by cyclization with hydrazine,"#heterocyclization, #triazole"
276750,R119-ACYLATION,2,1050,13449,formation of amides containing sulfonyl fluoride group,#acylation
277130,R142-DIHYDROURACYL,3,1050,12104,Dihydrouracyl synthesis from two amines,#heterocyclization
277970,Radd-078-Ac-Boc-RAT,3,1051,45503,Acylation of monoBoc-diamine followed by Boc cleavage and reductive amination,"#acylation, #reductive amination"
277990,R157-CARBAMATE,2,0,37804,"Carbamate from amine, alcohol and CDI",#urethane
278578,R165-F-SULFAMIDE,2,0,22091,Formation of amino sulfonyl fluorides,#sulfacylation
279130,Radd-093-Ac-Click#,3,1050,79721,Acylation followed by triazole formation via click reaction,"#acylation, #click, #heterocyclization, #triazole"
279392,B-ESTER,2,0,48619,Alkylation of acids followed by t-Bu cleavage,"#acid, #alkylation"
280130,T-ACYLATION,2,1050,91892,"Acylation, followed by cyclization of a nitrile into a tetrazole.","#acylation, #heterocyclization, #tetrazole"
280150,Radd-111-Anh-Ac-Ar,3,1055,41928,,
280176,Radd-113-Ac-SAc,3,1055,39359,,
280178,T-MA2,2,1050,33043,Two-stage: 1) sec-amine alkylation; 2) azide cycloaddition,"#acid, #alkylation, #heterocyclization, #tetrazole"
280190,Radd-115-NAc-Click-OH,3,1050,58437,Acylation followed by click reaction followed by ester hydrolysis,"#acid, #click, #triazole"
280212,Radd-117-Ac-CN2Oxdzln,2,1055,41576,,
280530,Radd-130-SO2N-Ar,3,1050,39914,Sulfacylation followed by amine arylation,"#arylation, #sulfacylation"
280710,Radd-138-Ac-tBu-Ac,3,1050,135368,Acylation of t-Bu ester of the amino acid/diacid followed by t-Bu cleavage and another acylation,#acylation
280750,Radd-139-T-SO2N,2,1055,28506,Sulfonamide formation followed by cyclization nitrile to tetrasole,"#heterocyclization, #sulfacylation, #tetrazole"
281210,Radd-152-Ugi,4,1055,40199,,
281510,Radd-158-RedAmin-Suzuki,3,1055,25556,,
281570,Radd-159-Arylation-Suzuki,3,1055,24304,,
